r,g,b,rgb,spanish,en_es,russian,en_ru,german,en_de,french,en_fr,chinese,en_zh,italian,en_it,korean,en_ko,japanese,en_ja,name,short_name,med_name,cx,cy
194,14,213,19414213,morado,purple,  _ ___ _   ____  __,purple,violet,violet,violet,purple,     _,purple,viola,violet, _   _   ,purple,   ,purple,bright fuschia,purple,neon purple,382.97,154.09
194,166,61,19416661,caqui,khaki,  ___   _ __ _ __  _   ___ __  __,light brown,kakigr _n,kakigr _n,marron chatain tr  s clair,chestnut brown very clear,    _    ,deep mud yellow,senape,mustard,      ,brown,     _        _  _  _,light khaki color,light orange brown,tan,mustard brown,418.58,375.06
194,169,81,19416981,color marr _n claro,light brown,_ __  _   ___ __  __,brown,beige,beige,beige,beige,     _,brown,marrone,brown,             ,light brown,      ,light brown,very light brown,tan,sandy brown,410.47,367.43
194,183,62,19418362,amarillo verdoso,greenish yellow,____    _   __  __,mustard,saharagelb,sahara yellow,vert olive,olive green,        _,khaki,viola,brown,    _        ,yellow brown,     _,gold,dark mustard yellow,tan,mustard brown,406.65,398.69
194,214,95,19421495,oliva,olive,  ___   _ __-_ _ _ _ __  __,light green,gelbgr _n,yellow-green,vert claire,light green:,   ,green,verde,green,                ,green light,   ,green,new leaf green,olive,almost yellow,367.32,441.76
194,227,84,19422784,verde,green,_ _ _ _ __  __,green,hell oliv,light olive,vert pistache clair,pistachio green light,     _,green,verde,green,       _ ,yellowish,     _   ,lime,greenish yellow,lime,citrus green,349.01,473.24
194,248,88,19424888,verde aguacate,avocado green,  ___   _ __-  _ _ _   __  __,a light salad,gr _n,green,vert,green,     _,green,verdino,light green,         ,green,      ,yellow-green,light yellow green,lime,popsicle green,342.35,520.87
194,249,73,19424973,verde,green,  ___   _ __-  _ _ _   ____  __,light-green,gr _n,green,vert,green, _      _,pale green,verde chiaro,green,        _   ,light green,              _   ,thin mint,apple gum  green,lime,golden yellow,356.43,517.71
194,251,21,19425121,verde manzana,green apple,  _ _ _   ____  __,green,neongr _n,neon green,chartreuse,chartreuse,     _,green,verde fluorescente,lake green,         ,green,        _  _  _     _  _,yellow green,greenish-yellow,lime,yellow-green,381.19,509.98
194,35,170,19435170,morado infantil,child purple,  ___ ____  __,pink,lila,purple,violet,purple,      ,magenta,viola,violet, _   _   ,purple,           _   ,dark pink,valentine's pink,pink,deep magenta,411.07,186.85
194,41,152,19441152,morado,purple,    _   _ ,fuchsia,violet,violet,mauve,mauve, _      _,pink,viol,purple, _   _   ,purple,   ,purple,purple passion,plum,pink shade,424.36,201.25
194,41,226,19441226,lila,lilac,  _ ___ _   ____  __,violet,lila,purple,pourpre,purple,   ,purple,viola,purple, _   _   ,purple,   ,purple,bright magenta,pink,bright purple,372.17,132.07
194,48,230,19448230,violeta,violet,___ ___ _   ____  __,violet,lila,purple,violet,#name?,     _,purple,viola,purple,    _  _    ,violet,   ,purple,luscious lavender,plum,bright purple,373.17,122.41
194,85,211,19485211,lila,lilac,  _   _ ___ __  __,lilac,violett,violet,violet,violet,     _,purple,viola,purple, _   _   ,purple,   ,purple,pinkish purple,pink,purple,367.26,153.2
195,148,12,19514812,marron claro,light brown,_   _     __,yellow,beige,beige,marron,brown,     _,yellow,marrone,brown,           _    ,dark yellow,     _,brown,golden mustard,gold,yellow gold,417.22,368.73
195,200,35,19520035,mostaza,mustard,_   _   ______ _ ___ __  _ ,old gold,gr _ngelb,green yellow,yellowgreen,yellowgreen,     _,yellow,verde,green,         ,green,        _   ,olive,dirty golden rod,lime,pea soup green,396.67,419.88
195,201,30,19520130,verde oliva,green olive,  _ ______-_ _ _   ______   ___   _ ,dark yellow,gelbgr _n,yellow-green,vert,green,        _,yellow-green,verde oliva chiaro,green,    _ ,yellow,     _,gold,mustard yellow,yellow,pea soup green,390.95,423.65
195,208,28,19520828,amarillo mostaza claro,clear yellow mustard,  ___   _ __ _ _ _   __ _ _ _ _ __  __,pale yellow-green,hell gr _n,light green,kaki,khaki,     _,green,verde chiaro,light green,  _   ,green,      ,yellow-green,yellowish green,lime,dirty yellow,385.01,428.52
195,221,90,19522190,verde botella palido,pale green bottle,_ _ _   __-_ _ _ _ __  __,yellow-green,hell gr _n,lime,vert,green,   ,green,verde,green,  _   ,green,   ,green,light yellow green,lime,soft avacado,362.13,451.57
195,224,55,19522455,verde manzana,green apple,  _ _ _   ____  __,green,gr _n,green,vert anis,lime green,     _,green,verde,green,         ,green,           _,yellow-green,lemonade yellow,lime,mellow yellow,368.39,448.32
195,238,65,19523865,verde claro,light green,  _ _ _   ____  __,green,hellgr _n,lime,vert,green,     _,green,lime,green,  _ _ ,lime,      ,yellow-green,light pale green,yellow,light yellow,359.44,475.81
195,242,74,19524274,verde claro,light green,_ _ _   __  __,green,hellgr _n,lime,vert clair,light green,        _,army green,verde fosforescente,green fluorescent,         ,green,  _           _   ,bright lime,light lime green,lime,golden yellow,370.08,491.97
195,36,212,19536212,morado,purple,  ___ ______   _ ___ _   ____  __,pinkish purple,lila,purple,violet,purple, _      _,color purple,violafucsia,purple, _   _   ,purple,        _        _   ,ish purple pink,highlight purple,pink,bright purple,374.4,157.77
195,40,144,19540144,violeta,violet,_ _ _ ____  __,violet,altrosa,dusky pink,rose violet,pink purple, _      _,pink,fdsdd,purple, _   _   ,purple,  _     _,magenta,light maroon purple,pink,dark rose bud,434.32,209.55
195,44,126,19544126,flor rosa,pink flower,  ___ ____  __,pink,rosa,pink,rose,pink, _      _,pink,rosa,pink, _   _   ,purple,     _                 _   ,sensual pink,watermelon pink,pink,pinkish-red,455.61,227.23
195,63,177,19563177,lila intenso,deep lilac,  _   _ __  ,lilac,rosa,pink,rose violet,pink purple, _      _,pink,viola,violet, _   _   ,purple,  _        _   ,magenta,hypnotic purple,blush,polly purple,427.7,196.43
195,83,181,19583181,violeta,violet,  ___ ____  __,pink,lila,purple,pourpre,purple,     _,purple,fucisa,purple,         ,pink,      ,pale purple,ju go ju purple,purple,medium purple,414.64,181.17
195,99,182,19599182,violeta,violet,___ ___ _   ____  __,violet,violett,violet,violet,purple,     _,purple,viola chiaro,light purple,      ,pink,   ,purple,pink purple grey,purple,lilac meadows,381.28,174.16
196,146,14,19614614,marr  n,brown,_ __  _   ___ __  __,brown,senf,mustard,beige kaki,beige khaki,    _      _,deep mud yellow,marrone chiaro,light brown,      ,brown,     _,brown,mustard yellow,gold,orange overall,423.75,368.64
196,151,34,19615134,marron,brown,____  _   ___ __  __,brown,mittleres braun,medium brown,marron,brown,     _,brown,marrone,brown,               ,bright ocher,   ,yellow,baby poo yellow,gold,muted mustard,426.07,356.78
196,195,29,19619529,dorado,golden,___ _ ___ ____  __,olive,gr _n,green,jaune verdatre,greenish yellow,     _,green,gialo,buttercup-yellow,    _ ,yellow,  _        _,dirty yellow,baby poop yellow,green,pea soup green,396.9,405.52
196,199,83,19619983,verde,green,_ _   __  __  __   ___   ,sand color,olivgelb,olive yellow,vert,green,        _,army green,verde oliva giallo chiaro,green light yellow oil,       _ ,yellowish,        _,young seedling color,deep yellow beige,sand,babyfood green,396.67,412.45
196,222,15,19622215,amarillo con un tono verde pistache,greenish yellow with pistachio,_ _ _ _ __  __,green,lime,lime,vert,green,     _,green,verde,green,  _   ,green,      ,yellow-green,pale yellow-green,green,dirty yellow,374.67,449.82
196,63,156,19663156,purpura,purple,  _   _ ___ __  __,lilac,pink,pink,mauve,mauve,        _,deep purple,viola,violet, _   _   ,purple,               ,pale pink,bright lavendar,pink,pinkish purple,431.5,203.85
197,10,145,19710145,rosa,rose,  ___ ____  __,pink,pink,pink,rose,pink, _      _,pink,viola,violet, _   _   ,purple,  _   ,purplish red,fandango violet,pink,dark magenta,434.39,197.51
197,122,26,19712226,marron,brown,_ _   _ ___ _   ,caramel,orangebraun,orange-brown,mordor  ,bronze, _   _,brown,arancione,brown,      ,brown,     _,brown,butterscotch brown,tan,golden orange,447.72,354.99
197,150,94,19715094,marron,brown,_ __  _ ____  __,coffee,sand,sand,marron sable,brown sand,   ,palm,marrone,brown,            ,light brown,     _     _      ,darker than skin color,tanned leather,tan,peachy keen,455.11,352.84
197,170,42,19717042,mostaza con amarillo,yellow mustard,_ _ _   __   _ _ _   __  __,yellow tobacco,dunkel gelb,dark yellow,jaune,yellow,     _,yellow,giallo,yellow, _  _ ,mustard,  _        _,dirty yellow,buttered toast,gold,dark mustard,411.56,378.85
197,195,42,19719542,verde oliva,green olive,___ _ ___ ____  __,olive,hellgr _n,lime,jaune,yellow,      ,yolk,giallo,yellow,  _   ,green, _         _,dark gold,yellow grey green,gold,lemon yellow,403.96,411.48
197,218,44,19721844,amarillo verdoso,greenish yellow,___ _ ___ ____  __,olive,gelb gr _n,yellow-green,vert,green,        _,yellow-green,verdino,light green,       _ ,yellowish,      ,yellow-green,yellowish green,lime,golden green,374.61,444.04
197,245,49,19724549,amarillo verdoso,greenish yellow,_ _ _ _ __  __,green,gr _n,green,vert n  on,neon green,        _,yellow-green,verde chiaro,light green,  _     _   ,luminous green,                  ,bright green,pale lemon yellow,lime,yellow green,380.23,497.43
198,121,65,19812165,marron,brown,  ___   _ __-_ __  _   ___ __  __,light-brown,schwach braun,weak brown,brique,brick,       _       ,chocolate milk,marrone,brown,         ,ocher,            ,brown,orangeish brown,tan,butterscotch,463.88,336.16
198,130,19,19813019,naranja y un semitono cafe,orange and brown halftone,____  _   ___ __  __,brown,ockerbraun,ocher-brown,brun,brown,        _,ocher,arancione,brown,      ,brown,        _        _           _,ish orange ocher,light golden brown,tan,almost copper,436.01,356.51
198,145,36,19814536,marr _n casta  o,brown brown,_ __  _   ___ __  __,brown,goldenrod,goldenrod,marron clair,light brown,        _,khaki,marone,brown,      ,brown,        _        _        _,ish brown orange,baby poo brown,gold,muted mustard,431.03,361.09
198,212,60,19821260,amarillo verdoso,greenish yellow,___ _ ___ ____  __,olive,gr _n,green,vert,green,        _,yellow-green,azzurro,lime,           _    ,dark yellow,        _   ,olive,ugly yellow green,green,yellow green,372.45,437.57
198,47,243,19847243,violeta,violet,  _ ___ _   ____  __,violet,rosaviolet,pink violet,violet clair,light purple,     _,purple,viola,violet, _   _   ,purple,   ,purple,electric purple,pink,medium violet,385.9,91.93
199,154,44,19915444,marron claro,light brown,_ __  _   ___ __  __,brown,goldbraun,golden brown,marron chataigne clair,chestnut brown clear, _    ,mud yellow,marrone,brown,      ,brown,      ,golden brown,brownish orange,gold,unburnt brown,430.88,366.53
199,172,30,19917230,verde amarillento,yellowish green,  _ ______-_ _ _     __,tawny,sonnengelb,sunny yellow,jaune p  le,pale yellow,     _,brown,ocra,ocher,      ,yellow,     _        _        _   ,golden olive,mustard yellow,gold,golden yellow,413.37,384.86
199,226,73,19922673,verde mostaza claro,mustard green light,_ _ _ _ __  __,green,blattgr _n,green leaf,vert claire,light green:,        _,yellow-green,giallo sabbia,yellow sand,  _   ,green,      ,yellow-green,task yellow green,lime,green banana,374.78,461.42
200,11,146,20011146,violeta,violet,  _   _ ___ __  __,lilac,pink,pink,rose,pink,   ,purple,rosa,pink,      ,pink,     _   ,pink,hot pinklicious,pink,magentaish,436.24,191.64
200,116,50,20011650,cafe,coffee,  ___   _ __-_ __  _   ___ __  __,light-brown,helles braun,light brown,marron,brown,     _,brown,ocra,ocher,      ,brown,        _   ,orange,brownish orange,rust,copper brown,457.43,346.96
200,129,98,20012998,marron,brown,_ _ _ _ __  __,beige,helles ocker,light ochre,marron,brown,     _,brown,rosa,brown,            ,light brown.,      ,light brown,dark dusty rose,tan,dusty rose,467.76,322.38
200,141,13,20014113,color zapote,color sapote,_ _   __  __  __,sand,orangegelb,orange-yellow,marron,brown,   ,orange,marrone,brown,      ,yellow,        _,yellow sat,mustard yellow,gold,orange overall,437.55,366.82
200,165,29,20016529,miel,honey,_ _ _   __-____    _   __  __,yellow mustard,ocker gelb,yellow ocher,orange marron tres clair,orange brown very clear,        _,light brown,giallo scuro,olive oil, _    ,golds,     _,brown,golden sunrise,gold,golden yellow,425.76,375.28
200,178,59,20017859,mostaza,mustard,____    _   __  __,mustard,dunkel ocker,dark ocher,jaune,yellow,     _,yellow,ocra,ocher, _                _ ,pumpkin color,   ,yellow,mustard yellow,tan,yellow orange,408.82,389.37
200,18,170,20018170,rosa,rose,  _   _ ___ __  __,lilac,pink,pink,rose,pink,     _,purple,viola,violet,         ,pink,   ,purple,electric pinky,pink,awesome pink,427.01,180.82
200,199,68,20019968,verde agua,green water,_ _ _     __,yellow,sand,sand,olive green,olive green, _    ,orioles tea,verde scolorito,yellow,           _    ,dark yellow,        _   ,olive,mustard yellow,tan,yellow beige,402.47,418.3
200,209,54,20020954,verde,green,___ _ ___ ____  __,olive,oliv,olive,olive,olives,     _ _    ,yellow foul,marrone,green,         ,green, _          ,dark yellow-green,split pea green,tan,dirty yellow,389.71,432.29
200,23,222,20023222,violeta,violet,  _ ___ _   ____  __,violet,signalviolett,signal-violet,violet clair,light purple,        _,purple,violet,purple, _   _   ,purple,   ,purple,electric purple,purple,deep magenta,381.46,141.12
200,246,75,20024675,pistacho,pistachio,_ _ _ _ ____-  _ _ _   ____  __,pale-green,gelb,yellow,vert,green,        _,grass green,verde acido,acid green,  _   ,green,        _  _     _  _,lemon yellow,neon citrus green,lime,golden yellow,373.55,498.65
200,249,69,20024969,amarillo mostaza,yellow mustard,_ _ _   ____-_   _     __,green-yellow,blasses limonengr _n,pale lime green,vert tr  s clair,very light green,        _,yellow-green,verde,yellow,         ,green,      ,yellow-green,bright green yellow,lime,yellow green,374.81,509.36
200,32,139,20032139,rosa oscura,dark pink,  ___ ____  __,pink,magenta,magenta,fucsia,fucsia,        _,pink,rosa,pink, _   _   ,purple,     _   ,pink,raspberry tart,pink,steel pink,438.11,202.86
200,91,134,20091134,rosa,rose,  ___ ____  __,pink,lachsfarben,salmon,rose,rose, _      _,pink,rosa,pink,         ,pink,     _,pink,raspberry pink,pink,romantic rose,465.42,241.19
20,102,127,20102127,azul y verde oscuro,blue and dark green,_____   _ ____ _ _ _ __  ,blue jeans,blau,blue,id7 oc  an,blue ocean,     _,blue,blu,blue, __   ,teal,      ,blue green,aqua marine green,blue,green blue,231.63,263.3
201,144,31,20114431,marron,brown,  ___   _ ___ __  _   ___ __  __,light brown,gold,gold,marron chatain clair,brown light brown,        _,light brown,marrone,brown,  _   ,orange,  _ _   _,copper,brown egg shell,gold,golden yellow,440.44,360.58
201,170,31,20117031,anaranjado cafe,orange brown,_ _ _     __,yellow,hell braun,tan,marron clair,light brown,        _,khaki,oro vecchio,old gold, _  _ ,mustard,     _,yellow,dark maize yellow,yellow,golden yellow,418.8,381.5
201,171,19,20117119,amarillo,yellow,____    _   __  __,mustard,khaki,khaki,jaune fonc   presque marron clair,dark yellow almost brown,        _,khaki,senape vivo,mustard vivo,       _     _    ,dark yellow,        _,ocher,mustard yellow,yellow,autumn brown,413.94,393.14
201,187,83,20118783,verde oliva,green olive,  _ ______ _ _ _     __,dark yellow,beige,beige,jaune,yellow,           _,light olive,verdew,verdew,    _    ,yellow,      ,light brown,creamed coffee,yellow,sandy brown,413.64,400.13
201,34,115,20134115,color fucsia oscuro,dark fuchsia,___ _ _ ______  __,crimson,dunkelrosa,dark pink,rose soutenu fonc  ,deep pink dark,        _,pink,rosa,pink,         ,pink,     _   ,pink,raspberry bubblegum,pink,dark pink,450.32,223.59
201,43,178,20143178,morado,purple,___ ___ _   ____  __,violet,pink,pink,violet,purple,        _,purple,fuxia,fuchsia,            ,hot pink,        _   ,deep pink,purple with a hint of pink,pink,bright magenta,421.03,179.63
20,152,204,20152204,azul cielo,blue sky,  _ ___ __,blue,dunkles hellblau,dark light blue,id7,blue,     _,blue,azzurro mare,blue sea,      ,blue,       _            _,a little darker blue,aqua blue ocean,blue,cerulean blue,159.91,233.69
201,57,240,20157240,purpura,purple,  ___   _ __-  _   _ ___ __  __,pale lilac,violett,violet,fucsia,fucsia,   ,purple,fucsia,purple, _   _   ,purple,  _         ,bright purple,diet grape soda,pink,almost purple,398.81,98.6
20,164,146,20164146,verde malaquita,malachite green,_ _    __ ____  __,turquoise,t _rkis,turquoise,vert,green,        _,blue-green,verde,green, __      ,turquoise,                           ,mixed with a little blue-green,dark sea green,aqua,deep aqua blue,179.07,297.85
201,68,173,20168173,violeta,violet,  _   _ ___ __  __,lilac,hellila,light purple,fuchsia,fuchsia,     _,purple,melanzave,purple,        _   _   ,bright purple,           _   ,dark pink,pinkish purple,pink,pinkish purple,432.8,177.98
20,193,156,20193156,verde,green,  _   __-_ _ _ _ __  __,gray-green,t _rkis,turquoise,vert  opaline,green opaline,        _,blue-green,verde acqua,light green, __      ,turquoise,           _     _,aquamarine,turquoise green,teal,bright teal,153.41,317.3
20,200,157,20200157,agua marina,seawater,_ _ _ _ __  __,green,aquagreen,aqua green,id7 turquoise,turquoise,     _,green,acquamarina,lake green,  _   ,green,        _,green,fresh turquoise,teal,greenish blue,146.15,317.51
202,10,130,20210130,rosado oscuro,dark pink,  ___ ____  __,pink,dunkelpink,dark pink,rose,pink, _      _,pink,rosa,pink, _   _   ,purple,     _   ,pink,girl-power pink,pink,magentaish,442.21,207.69
202,195,87,20219587,amarillo sucio,dirty yellow,  _ ______-_ _ _     __,tawny,vanillegelb,vanilla yellow,jaune,yellow,    _      _,shallow mud yellow,oro,gold,    _   _   ,yellow green,  _     _  _  _  _,yellow trout,mustard yellow,yellow,light green,410.35,405.73
202,200,59,20220059,crema tania,tania cream,_ _   __  __  __,sand,gr _n,green,jaune,yellow,        _,army green,verde oliva chiaro,green light olive,    _    ,yellow,     _        _  _      ,golden rod,yellowish green,gold,stranger yelow,406.12,424
20,244,194,20244194,verde,green,_ _ _     __  __,blue,t _rkis,turquoise,turquoise,turquoise,      ,light green,azurro,green,    _ ,blue,  _           _,bright blue,pale turquoise,aqua,greenish blue,94.31,367.16
202,59,190,20259190,fuccia,fuxia,  ___   _ __-  _   _ ___ __  __,pale lilac,pink,pink,violet,purple,   ,purple,violet,violet, _   _   ,purple,     _   ,pink,dark purple-pink,pink,another purple,398.86,171.83
202,84,194,20284194,amatista,amethyst,___ ___ _   ____  __,violet,lila,purple,fuchsia,fuchsia, _      _,pink,violet,violet,    _   _,purple,        _   ,purple pink,bright lavender,pink,wisteria,392.41,173.44
202,86,136,20286136,rosa medio,medium pink,  _ ______-  ___ ____  __,dark pink,rosa,pink,violet,violet, _      _,pink,rosa,pink,         ,hot pink,     _   ,pink,faded dark pink,jam,dora's pink,452.5,231.88
203,163,54,20316354,marron,brown,  ___   _ __-_ __  _   ___ __  __,light-brown,gold-gelb,golden-yellow,marron brun clair,brown brown,         ,road test tea,ocre intenso,intense ocher,         ,ocher,      ,light brown,mustard yellow,goldenrod,blunty yellow,431.02,372.05
203,176,26,20317626,amarillo,yellow,_   _     __,yellow,gelbgr _n,yellow green,jaune fonc  ,dark yellow,     _,yellow,senape,brown,      ,brown,     _,yellow,mustard yellow,yellow,golden yellow,419,397.7
203,199,74,20319974,verde oliva,olive,___ _ ___ ____  __,olive,helles khaki,light khaki,jaune,yellow,     _,yellow,giallo,yellow,  _   ,green,     _           _   ,light olive,greenish yellow,tan,yellow green,408.51,417.28
203,244,23,20324423,verde citrico,citrus green,  _ _ _   ____  __,green,gruen,green,jaune,yellow,        _,light green,giallo,yellow,             ,bright light green,  _  _  _        _  _,green lawn,spring sprout green,lime,sprite yellow,392.18,498.79
203,33,230,20333230,violeta,violet,  _ ___ _   ____  __,violet,lila,purple,rose,pink, _      _,pink,fucsia,purple, _       ,magenta,   ,purple,purple witches,pink,puerile purple,381.8,124.05
203,42,187,20342187,violeta,violet,___ ___ _   ____  __,violet,signallila,signal-purple,rose fushia,fuchsia pink,     _,purple,jkjh,purple, _   _   ,purple,   ,purple,dreaming purple,pink,bright purple,414.13,175.07
203,73,199,20373199,lila demorado,lilac delayed,_     _     __  __,purpure,lila,purple,violet,purple,     _,purple,rosa,pink,         ,pink,     _   ,pink,peppier purple,pink,bright purple,398.24,162.62
204,116,86,20411686,cafe claro,light brown,_   _____    _ __  __  _ ___ ,dark salmon,terra cotta,terra cotta,marron,brown,        _,light brown,marrone,brown,      ,apricots,     _     _,salmon,dark pumpkin orange,brown,bright brick,482.68,315.58
204,185,72,20418572,amarillo ocre,yellow ocher,__    _  _ _ _   _   ,yellow ocher,olivgr _n,olive,ocre jaune,yellow ocher,        _,khaki,sabbia,sand,    _ ,yellow,     _      ,beige,mustard yellow,tan,tannish brown,419.71,414.06
204,227,17,20422717,verde manzana,green apple,_ _ _   __-_ _ _ _ __  __,yellow-green,gelbgr _n,yellow-green,jaune,yellow,     _,yellow,verde,yellow-green,                ,pale green,              _  _     _  _,dark yellow lemon,whoa nelly yellow,green,dirty yellow,382.89,459.62
204,237,53,20423753,verde brillante,bright green,_   _   __-_ _ _   __  __,yellow-green,neon gelb,neon yellow,jaune,yellow,        _,army green,limone,yellow,    _    ,yellow,     _   ,lime,electric yellow,gold,canary yellow,374.57,478.77
204,39,160,20439160,algodon morado,purple cotton,    ______-___ _ _ ______  __,dark crimson,leicht dunkles pink,slightly dark pink,rose,pink,       _   _,raspberry color,viola,light purple, _   _   ,purple,  _        _   ,magenta,fuschia subdued,pink,medium purple,406.3,173.79
204,59,201,20459201,violeta,violet,  _   _ ___ __  __,lilac,lila,purple,fuchsia,fuchsia,     _,purple,viola,purple,         ,pink,   ,purple,pinkish purple,pink,another purple,396.29,157.07
204,87,239,20487239,morado pastel,pastel purple,    _ __   _   _ ___ __  __,bright purple,lila,purple,mauve,mauve,     _,purple,viola,violet, _   _   ,purple,   ,purple,pinkish purple,lilac,bright purple,386.25,101.97
204,88,173,20488173,rosa,rose,  ___ ____  __,pink,hellviolette,violet light,rose,pink,     _,purple,viola,violet,         ,pink,  _  _  _     _   ,pink rose,pinkish purple,pink,perfect pink,463.3,209.06
204,92,224,20492224,lila,lilac,  _ ___ _   ____  __,violet,pink,pink,rose mauve,pink purple,     _,purple,j,purple, _   _   ,purple,   ,purple,electric purple,rose,pink-purple,375.79,144.85
204,93,217,20493217,lila,lilac,_ _ _ _ ____-  ___ ____  __,pale pink,rosa,pink,violet,purple,     _,purple,viola,violet, _   _   ,purple,            ,usui purple,purple people eater,pink,pastel purple,382.72,147.46
205,176,68,20517668,mostaza,mustard,  ___   _ __-_ __  _   ___ __  __,light-brown,ocker,ocher,beige,fawn, _  _   _,mustard color,giallo,yellow,            ,light brown.,  _           _,light brown,sunflower sunshine,tan,tannish brown,425.06,381.84
205,211,49,20521149,amarillo,yellow,____    _   __  __,mustard,gr _n,green,jaune,yellow,      ,olivine,oliva chiaro,dark yellow,          _ ,cloudy yellow,   ,yellow,light grass green,yellow,golden yellow,394.95,429.02
205,215,98,20521598,verde claro,light green,____    _   _ ,mustard,blassgelb,pale yellow,vert olive,olive green,     _,green,oliva chiaro,light olive,    _   _   ,yellow green,  _              _     _,bright olive color,pale olive green,green,almost yellow,379.46,440.15
205,252,78,20525278,amarillo verde pistache brillante,bright yellow pistachio green,___ _ ___ ____  __,olive,gr _n,green,vert claire,light green:,        _,yellow-green,limone,green,                ,green light,      ,yellow-green,highlight yellow,lime,yellow green,379.35,516.83
205,62,110,20562110,rosa a la cadera,rosa to the hip,___ _ _ ______  __,crimson,draschtisches rosa,draschtisches pink,rose,pink,     _,red,rosso,magenta,       _           ,dark pink, _            _   ,dark pink,light raspberry,red,dark pink,470.51,246.63
205,74,152,20574152,rosa oscuro,dark pink,_ _ _ _ _ __-  ___ ____  __,pale pink,pink,pink,rose,pink, _      _,pink,fuscsia,fuscsia,         ,pink,     _   ,pink,passionate purple,pink,dark pink ink,446.45,218.21
206,112,39,20611239,anaranjado viejo,old orange,  ___   _ ___ __  _   ___ __  __,light brown,orange,orange,orange,orange,     _,orange,arancio,brown,  _      ,orange,        _   ,orange,burnt pumpkin orange,brown,burnt orange,468.03,341.42
206,133,38,20613338,naranja con marron,orange with brown,__  _ ___ _ __  __,orange,orange,orange,marron,brown,     _,brown,arancio,brown,  _      ,orange,     _,orange color,light gold rush,brown,golden brown,456.36,358.55
206,146,14,20614614,amarillo trigo,wheat yellow,  _ _______ _ _     __,dark yellow,gold,gold,marron,brown,     _,gold,arancione,brown,            ,dark gold,     _,yellow,dark butterscotch,gold,orange overall,441.9,372.73
206,176,80,20617680,ocre amarillo,yellow ocher,__    _   ,mud,hellbraun,tan,beige,fawn,        _,light brown,marrone,brown,      ,brown,        _  _,brown,mustard yellow,tan,golden beige,430.94,381.06
206,244,90,20624490,verde claro,light green,  _ _ _   ____  __,green,hellgr _n,lime,jaune vert beige,yellow green beige,  _    _       ,bright green leaves,verdino,light green,         _   ,bright green,           _,yellow-green,honeydew melon,lime,popsicle green,364.87,486.37
206,246,85,20624685,verde manzana,green apple,_ _ _     __,yellow,gr _ngelb,green yellow,jaune,yellow,        _,yellow-green,verde,green,               ,green light,      ,yellow-green,yellowish green,green,popsicle green,369.83,505.15
207,110,94,20711094,ladrillo,brick,_ _       _ _____      ___ _ ,dried roses,lachs,salmon,rose tir sur brun,brown pink shooting,     _,red brick,terra di siena rosato,sienna rose,            ,dark pink,     _  _  _            ,pinky palette,dark dusky rose,pink,dark salmon,494.68,313.63
207,134,43,20713443,naranja,orange,__  _ ___ _ __  __,orange,acker,field,marron,brown,     _,orange,bronzo,bronze,      ,brown, _   _,brown,dark orangeish,tan,burnt orange,468.31,359.4
207,179,55,20717955,ambar,amber,___ _ ___ ____  __,olive,vanillegelb,vanilla yellow,beige,fawn,     _,yellow,giallo solidago,yellow,    _ ,yellow,     _,brown,golden rod yellow,gold,stranger yelow,419.06,388.65
207,230,61,20723061,verde claro,light green,_ _ _   __-_ _ _ _ __  __,yellow-green,gruen,green,jaune,yellow,        _,army green,verde,green,          _    ,union yellow,        _  _,citrine,off dark yellow,lime,mangled green,371.35,468.94
207,240,87,20724087,amarillo verdoso,greenish yellow,_ _ _ _ ____-_ _ _ _ __  __,pale green,gr _n,green,verde,verde,        _,yellow-green,verde,light bright green,         _   ,bright green,   ,green,yellow-green highlight,green,yellow green,382.88,490.89
207,245,86,20724586,amarillo verdoso,greenish yellow,  _ _ _   ____  __,green,hellgr _n,light green,vert jaune,yellow green,      ,olivine,verde,green,        _   ,pale green,   ,green,flourecant lime,lime,popsicle green,388.85,492.37
207,33,113,20733113,rosa,rose,    _ __-  ___ ____  __,hot pink,pink,pink,rose framboise,raspberry pink, _      _,pink,rosa,pink,         ,pink,     _   ,pink,hot fuschia girl!,pink,raspberry,463.04,229.45
207,52,125,20752125,rosado,rose,  ___ ______-_ __  _ ____  __,pink and burgundy,dunkel rosa,dark pink,rose,pink, _      _,pink,rosa antico,pink,         ,pink,     _   ,pink,cherry pink flower,rose,dark pink,450.02,211.18
207,60,254,20760254,violeta,violet,    _ _      _   _ __  ,bright lilac,lila,purple,violet,purple, _   _   ,dark orchid purple,violet,violet, _   _   ,purple,   ,purple,purple surprise,pink,bright purple,379.11,84
207,73,115,20773115,rosa oscuro,dark pink,_   ______-  ___ ____  __,dark pink,ziegelrot,brick-red,rose fonce,dark pink, _      _,pink,rosa scuro,dirty pink,      ,pink,     _   ,pink,pretty in pink,red,heavily pink,476.68,245.66
208,125,17,20812517,naranja claro,light orange,_ __  _   ___ __  __,brown,orange,orange,orange sienne,his orange,   ,orange,marrone chiaro,orange,  _      ,orange,              _,orange color,bonfire orange,tan,spicy mustard,449.06,368.7
208,140,91,20814091,color marr _n claro,light brown,_ __  _   ___ __  __,brown,hell braun,tan,marron,brown,     _,brown,marone,brown,         ,apricot,      ,light brown,toasted almond,tan,teddy brown,471.46,318.02
208,179,54,20817954,marr  n claro,brown,_ ___ __  _       __,golden,ocker,ocher,jaune,yellow,        _,khaki,sabbia,sand,       _     _    ,dark yellow, _            _  _,bright yellow darker,mustard yellow,golden,blunty yellow,424.52,397.84
